alm_date,alm_time,inci_no,exp_no,station,number,st_prefix,street,st_type,st_suffix,apt_room,city,state,zip,combined adress,rmz,latitude,longitude,inci_type,descript,mutl_aid,disp_date,disp_time,arv_date,arv_time,ctrl_date,ctrl_time,clr_date,clr_time,shift,alarms,district,app_supp,per_supp,app_ems,per_ems,app_rescue,per_rescue,app_other,per_other,prop_use,descript_b
01-Jan-12,03:35:23,12-0000005,0,4,900,N,DODGE,ST,,,IOWA CITY,IA,52240,900 N DODGE ST  IOWA CITY IA 52240,0001.00,0,0,154,Dumpster or other outside trash receptacle fire,N,01-Jan-12,03:33:36,01-Jan-12,03:46:01,01-Jan-12,03:53:00,01-Jan-12,04:00:00,B,1,04,1,3,0,0,0,0,0,0,965,Vehicle parking area
01-Jan-12,22:15:32,12-0000010,0,1,333,S,GILBERT,ST,,2111,IOWA CITY,IA,52240,333 S GILBERT ST  IOWA CITY IA 52240,0021.00,0,0,381,Rescue or EMS standby,N,01-Jan-12,22:13:07,01-Jan-12,22:19:34,,,01-Jan-12,22:23:58,C,1,01,0,0,1,3,0,0,0,0,429,Multifamily dwelling
02-Jan-12,14:20:51,12-0000015,0,1,309,S,MADISON,ST,,,IOWA CITY,IA,52240,309 S MADISON ST  IOWA CITY IA 52240,0021.00,0,0,710,"Malicious, mischievous false call, Other",N,02-Jan-12,14:19:53,02-Jan-12,14:26:52,,,02-Jan-12,14:28:01,A,1,01,4,12,0,0,0,0,0,0,141,Athletic/health club
03-Jan-12,04:01:00,12-0000020,0,2,1011,,HUDSON,AVE,,1,IOWA CITY,IA,52242,1011  HUDSON AVE  IOWA CITY IA 52242,0006.00,0,0,311,"Medical assist, assist EMS crew",N,03-Jan-12,03:59:35,03-Jan-12,04:06:43,,,03-Jan-12,04:13:24,A,1,02,1,4,0,0,0,0,0,0,419,1 or 2 family dwelling
03-Jan-12,11:14:30,12-0000025,0,3,1416,,BROOKWOOD,DR,,,IOWA CITY,IA,52240,1416  BROOKWOOD DR  IOWA CITY IA 52240,0017.00,0,0,311,"Medical assist, assist EMS crew",N,03-Jan-12,11:13:08,03-Jan-12,11:21:16,,,03-Jan-12,11:38:23,C,1,03,0,0,1,3,0,0,0,0,419,1 or 2 family dwelling
03-Jan-12,17:10:36,12-0000030,0,3,2300,,HOLLYWOOD,BLVD,,,IOWA CITY,IA,52240,2300  HOLLYWOOD BLVD  IOWA CITY IA 52240,0018.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,03-Jan-12,17:08:06,03-Jan-12,17:13:00,,,03-Jan-12,17:25:17,C,1,03,0,0,1,3,0,0,0,0,419,1 or 2 family dwelling
04-Jan-12,05:30:18,12-0000035,0,1,426,,LEE,ST,,,IOWA CITY,IA,52240,426  LEE ST  IOWA CITY IA 52240,0023.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,04-Jan-12,05:26:46,04-Jan-12,05:37:09,,,04-Jan-12,05:54:53,C,1,01,1,3,0,0,0,0,0,0,419,1 or 2 family dwelling
04-Jan-12,12:52:47,12-0000040,0,1,410,E,WASHINGTON,ST,,,IOWA CITY,IA,52240,410 E WASHINGTON ST  IOWA CITY IA 52240,0016.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,04-Jan-12,12:51:24,04-Jan-12,12:55:19,,,04-Jan-12,12:59:44,A,1,01,1,4,0,0,0,0,0,0,599,Business office
04-Jan-12,18:31:17,12-0000045,0,4,3231,,HASTINGS,AVE,,,IOWA CITY,IA,52240,3231  HASTINGS AVE  IOWA CITY IA 52240,0013.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,04-Jan-12,18:29:31,04-Jan-12,18:37:40,,,04-Jan-12,18:48:59,A,1,04,0,0,1,3,0,0,0,0,419,1 or 2 family dwelling
05-Jan-12,08:07:00,12-0000050,0,2,1415,,RANIER,DR,,,IOWA CITY,IA,52246,1415  RANIER DR  IOWA CITY IA 52246,0004.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,05-Jan-12,08:05:53,05-Jan-12,08:11:29,,,05-Jan-12,08:57:13,B,1,02,1,3,0,0,0,0,0,0,419,1 or 2 family dwelling
05-Jan-12,13:25:38,12-0000055,0,1,123,N,CAPITOL,ST,,,IOWA CITY,IA,52242,123 N CAPITOL ST  IOWA CITY IA 52242,0021.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,05-Jan-12,13:24:30,05-Jan-12,13:27:25,,,05-Jan-12,13:44:27,B,1,01,1,0,0,3,0,0,0,0,241,"Adult education center, college classroom"
05-Jan-12,21:18:21,12-0000060,0,1,500,E,MARKET,ST,,,IOWA CITY,IA,52245,500 E MARKET ST  IOWA CITY IA 52245,0011.00,0,0,743,"Smoke detector activation, no fire - unintentional",N,05-Jan-12,21:17:28,05-Jan-12,21:21:23,,,05-Jan-12,21:27:22,B,1,01,4,11,0,0,0,0,0,0,331,Hospital - medical or psychiatric
06-Jan-12,09:35:48,12-0000065,0,4,2585,,BLUFFWOOD,LN,,,IOWA CITY,IA,52240,2585  BLUFFWOOD LN  IOWA CITY IA 52240,0001.00,0,0,550,"Public service assistance, Other",N,06-Jan-12,09:33:44,06-Jan-12,09:47:25,,,06-Jan-12,09:52:25,A,1,04,0,0,0,0,0,0,1,3,419,1 or 2 family dwelling
07-Jan-12,01:06:41,12-0000070,0,1,12,S,DUBUQUE,ST,,,IOWA CITY,IA,52240,12 S DUBUQUE ST  IOWA CITY IA 52240,0021.00,0,0,311,"Medical assist, assist EMS crew",N,07-Jan-12,01:06:00,07-Jan-12,01:10:31,,,07-Jan-12,01:14:13,A,1,01,0,4,1,0,0,0,0,0,162,Bar or nightclub
07-Jan-12,13:10:31,12-0000075,0,4,2612,,BLUFFWOOD,CIR,,,IOWA CITY,IA,52240,2612  BLUFFWOOD CIR  IOWA CITY IA 52240,0001.00,0,0,440,"Electrical  wiring/equipment problem, Other",N,07-Jan-12,13:05:05,07-Jan-12,13:16:06,,,07-Jan-12,13:22:41,B,1,04,1,3,0,0,0,0,0,0,419,1 or 2 family dwelling
08-Jan-12,02:21:27,12-0000080,0,1,335,E,IOWA,AVE,,,IOWA CITY,IA,52240,335 E IOWA AVE  IOWA CITY IA 52240,0021.00,0,0,710,"Malicious, mischievous false call, Other",N,08-Jan-12,02:20:11,08-Jan-12,02:24:45,,,08-Jan-12,02:30:24,B,1,01,4,5,0,0,0,0,0,7,882,"Parking garage, general vehicle"
